Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,15,0,0,2,2,0,18,1,0,0,0,0,0,45.373502,-84.9584908,1
0,8,0,1,0,0,0,0,2,0,0,0,0,0,43.2499059,-83.7821562,1
0,5,0,0,1,0,0,7,2,0,0,0,0,0,43.3362512,-83.7387978,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,42.7508994,-83.3813595,1
0,5,0,0,0,0,0,4,1,0,0,0,0,0,42.6882832,-83.4093006,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,42.6697444,-83.3008089,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.6559587,-83.6178423,1
0,4,0,0,0,0,0,0,10,0,0,0,0,0,42.678737,-83.251054,1
0,2,0,0,0,2,3,2,1,0,0,0,0,0,43.0216277,-83.7224456,1
0,4,0,0,0,0,0,1,6,0,0,0,0,0,43.042833,-83.635142,1
0,0,0,0,0,1,2,0,1,0,0,0,0,0,43.0179887,-83.751159,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,42.9879866,-83.7027931,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,42.9929024,-83.6540228,1
0,12,0,0,1,0,0,8,0,0,0,0,0,0,42.9238701,-83.6245834,1
0,4,0,0,0,0,0,115,0,0,0,0,0,0,43.0114239,-83.5548814,1
0,8,0,0,0,0,0,0,2,0,0,0,0,0,42.9447374,-83.6632723,1
0,0,0,0,1,0,0,0,32,0,0,0,0,0,42.9573737,-83.8507596,1
0,2,0,0,0,0,0,7,4,0,0,0,0,0,43.6343614,-84.2265574,1
0,19,1,0,1,0,0,210,13,0,0,0,0,0,43.5758772,-84.766952,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4817568,-84.0905616,1
0,4,0,0,0,1,0,0,2,0,0,0,0,0,43.4808328,-83.9947178,1
0,9,0,0,0,0,0,14,5,0,0,0,0,0,43.4514078,-83.9759809,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,43.4074238,-84.6066292,1
0,9,0,0,0,0,0,11,2,0,0,0,0,0,43.4373162,-84.0300812,1
0,1,0,0,1,0,0,14,2,0,0,0,0,0,43.4362083,-83.9748836,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4167653,-84.1301735,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,43.4084621,-83.991809,1
0,5,0,0,0,0,0,14,2,0,0,0,0,0,43.4440901,-83.9764547,1
0,1,0,0,1,8,3,5,53,0,0,0,0,0,43.4273242,-83.9406431,1
0,5,0,0,2,0,0,1,1,0,0,0,0,0,43.4163352,-84.070953,1
0,0,0,0,0,0,0,61,0,0,0,0,0,0,42.2960565,-83.3497555,1
0,3,0,0,0,0,0,40,0,0,0,0,0,0,42.3538615,-83.3511098,1
0,0,0,0,0,0,0,165,0,0,0,0,0,0,42.3088066,-83.423701,1
0,5,2,0,0,0,0,210,7,0,0,0,0,0,42.3530867,-83.3866584,1
0,2,0,0,0,0,0,21,0,0,0,0,0,0,42.3026949,-83.3890608,1
0,7,0,1,1,1,1,28,25,0,0,0,0,0,44.7633613,-85.5876256,1
0,2,0,0,2,1,1,1,0,0,0,0,0,0,43.3798802,-84.6663807,1
0,12,0,0,1,0,0,0,2,0,0,0,0,0,41.8892056,-84.0333512,1
0,113,1,3,6,7,4,341,54,0,0,0,0,0,42.2815404,-83.7432378,1
0,1,0,0,1,0,0,9,0,0,0,0,0,0,42.0691995,-83.2516417,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,42.5330928,-83.5013324,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5693262,-83.4750549,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6440398,-83.4438523,1
0,7,0,0,1,0,0,1,0,0,0,0,0,0,42.5380147,-82.9691852,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7206814,-82.7495758,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,42.6389813,-83.3549594,1
0,2,0,0,0,0,0,0,2,0,0,0,0,0,42.6752751,-82.7696231,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,42.6651667,-83.3474847,1
0,4,0,1,0,0,0,34,3,0,0,0,0,0,42.688684,-82.8228681,1
