Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,12,2,0,1,0,0,44,6,0,0,0,0,0,42.7137221,-83.054557,3
0,30,10,0,3,0,2,2,10,0,0,0,0,0,42.5763166,-83.440802,3
0,10,0,0,1,0,0,244,6,0,0,0,0,0,42.6685055,-83.0625114,3
0,39,0,2,1,1,2,285,14,0,0,0,0,0,42.6571694,-82.9750588,3
0,15,0,0,1,0,0,141,5,0,0,0,0,0,42.6835747,-83.0667844,3
0,33,0,0,2,0,1,171,24,0,0,0,0,0,42.5530072,-82.9508599,3
0,38,0,0,1,1,1,295,9,0,0,0,0,0,42.6538275,-83.0918735,3
0,19,0,0,2,0,0,67,10,0,0,0,0,0,42.5853485,-83.0314379,3
0,79,0,9,3,5,0,269,31,0,0,0,0,0,42.5359375,-83.0691377,3
0,14,0,0,1,0,0,75,7,0,0,0,0,0,42.6988372,-83.0351968,3
0,66,0,6,2,1,0,243,25,0,0,0,0,0,42.5506414,-83.0672197,3
0,36,0,2,3,2,1,427,12,0,0,0,0,0,42.6109497,-82.9914393,3
0,70,2,3,2,0,1,2145,224,0,0,0,0,0,42.468813,-83.3957246,3
0,116,38,1,6,2,0,362,132,0,0,0,0,0,42.4612576,-83.1228059,3
0,40,0,0,3,0,1,211,23,0,0,0,0,0,42.5100512,-82.9368476,3
0,40,19,0,2,0,2,26,33,0,0,0,0,0,42.5755312,-83.3627018,3
0,25,0,0,2,0,1,347,13,0,0,0,0,0,42.6569887,-82.9380136,3
0,46,0,0,4,0,0,113,26,0,0,0,0,0,42.5512351,-83.0090157,3
0,29,1,0,2,14,2,199,85,0,0,0,0,0,42.427126,-83.3167915,3
0,25,0,0,3,6,2,177,24,0,0,1,0,0,42.4641882,-82.9855822,3
0,41,0,2,1,2,2,506,15,0,0,0,0,0,42.6426063,-82.955247,3
0,46,0,0,4,1,2,308,25,0,0,0,0,0,42.5080567,-82.9879355,3
0,38,0,0,3,0,1,142,28,0,0,0,0,0,42.5251644,-82.9176736,3
0,33,0,0,5,3,1,261,29,0,0,1,0,0,42.4617021,-83.0550361,3
0,25,0,0,1,1,1,318,7,0,0,0,0,0,42.6070508,-83.0901112,3
0,134,38,8,4,4,0,343,120,0,0,0,0,0,42.4903646,-83.1139381,3
0,24,0,2,2,0,0,210,9,0,0,0,0,0,42.6106486,-83.0322672,3
0,7,0,1,2,3,3,152,106,0,0,0,0,0,42.6237342,-83.9767781,3
0,8,0,2,1,0,2,688,2,0,0,0,0,0,42.2726968,-83.4866912,3
0,16,0,1,1,0,0,14,11,0,0,0,0,0,42.5067235,-83.7633594,3
0,6,0,0,0,0,1,0,9,0,0,0,0,0,42.5160644,-83.7197475,3
0,39,0,0,4,0,0,191,128,0,0,0,0,0,42.4006804,-83.3340775,3
0,24,0,5,0,0,20,211,34,0,0,0,0,0,42.2093138,-83.3259553,3
0,83,0,3,4,2,0,811,27,0,0,0,0,0,42.1691976,-83.2278747,3
0,41,0,5,1,1,1,643,19,0,0,0,0,0,42.1979499,-83.268831,3
0,40,0,0,2,0,0,191,121,0,0,0,0,0,42.8828246,-85.6068903,3
0,98,0,2,4,18,5,172,86,0,0,0,0,0,42.988748,-85.6886181,3
