name,latitude,longitude,driving_distance,distance_to_nearest_motorway,traffic_aadt,grocery_stores,food_outlets,tourist_destinations,hotels,educational_institutions,hospitals,airports,residential_housing_density,commercial_housing_density,fuel_stations_and_car_wash,apparels,visits
Meijer,41.937628,-84.9594768,1.1,4,2501,29,3,0,0,9,3,5,2,2,15,0,27626
Meijer,43.0078252,-85.6910749,0.7,3,20324,79,152,0,2,99,35,6,310,120,57,13,42491
Meijer,42.8288269,-86.0909194,1.9,5,11396,53,65,4,6,67,7,0,111,67,36,19,44766
Meijer,42.4062846,-86.2566099,3.2,5,3251,13,20,1,0,8,4,5,72,155,11,0,21329
Meijer,43.6904411,-85.516716,0.5,2,19422,17,6,2,1,69,4,4,74,3,11,0,31273
Meijer,43.0332866,-85.6281376,0.9,4,23209,63,80,0,2,74,22,3,108,56,42,4,36543
Meijer,42.9332556,-85.3746566,6,12,13105,8,1,1,0,4,1,4,0,1,9,0,28339
Meijer,42.7815232,-86.0755654,1.9,6,17576,59,67,4,6,62,8,2,119,82,42,19,47050
Meijer,41.7866373,-85.4244934,2.6,5,4543,16,3,1,3,7,8,4,1,6,15,0,29246
Meijer,44.2673394,-86.2954866,37.5,44,886,12,9,2,2,4,4,5,3,3,8,1,26288
Meijer,43.9583358,-86.3772048,8.4,11,1648,20,22,0,6,16,6,3,5,26,11,10,25210
Meijer,42.0827148,-86.4216183,0.4,2,8477,36,8,0,5,26,6,3,96,1,26,2,32603
Meijer,46.4656245,-84.3876595,1.9,6,2005,20,19,8,4,26,9,3,34,23,18,23,25735
Meijer,42.9937913,-83.6305099,3.5,8,21125,80,57,0,0,72,14,2,143,31,61,2,32863
Meijer,42.9937913,-83.6305099,3.5,8,21125,80,57,0,0,72,14,2,143,31,61,2,32863
Meijer,42.9937913,-83.6305099,3.5,8,21125,80,57,0,0,72,14,2,143,31,61,2,32863
Meijer,42.9937913,-83.6305099,3.5,8,21125,80,57,0,0,72,14,2,143,31,61,2,32863
