StoreID,latitude,longitude,visits,Grocery_Stores_1mile,Food_Outlets_1mile,Educational_Institutions_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Hospitals_3miles,Apparels_3miles,Tourist_Destinations_5miles,Hotels_5miles,Airports_5miles,City,State,County,Census Tract Code,Census Block Code,Household_Income_Under50k,Household_Income_50to100k,Household_Income_100to200k,Household_Income_200k+,Median_Age,Population_Male_Under15,Population_Male_15to64,Population_Male_65+,Population_Female_Under15,Population_Female_15to64,Population_Female_65+,driving distance to nearest motorway (in miles),duration to nearest motorway (in mins),Traffic (AADT)
130,39.97350566,-86.15260993,32428,2,22,1,133,61,4,31,39,2,13,5,Carmel,IN,Hamilton County,111012,3005,209,211,261,43,32.8,0,0,0,0,0,0,2.7,5,6954.0
131,39.77426113,-85.96372355,28935,5,9,1,53,1,4,4,2,2,1,1,Indianapolis,IN,Marion County,360501,4011,141,257,162,0,30.6,80,235,86,14,294,64,11.1,16,22655.0
132,39.61430975,-86.16198608,29618,7,26,2,0,1,6,8,3,1,2,5,Greenwood,IN,Johnson County,610605,2002,424,270,343,76,39.8,0,324,8,35,338,74,3.8,9,21012.0
133,39.76113829,-86.32979394,32235,6,33,0,0,4,3,9,1,5,0,19,Avon,IN,Hendricks County,210614,3015,120,442,204,0,30.8,28,633,87,87,338,103,8.0,15,13751.0
134,39.66352347,-86.07739667,36182,6,7,0,16,24,3,8,0,1,2,6,Indianapolis,IN,Marion County,390405,2000,148,63,138,0,41.6,140,621,172,278,557,131,5.3,9,124951.0
135,39.43123157,-84.59693799,23041,5,23,2,6,0,4,5,1,0,0,3,Hamilton,OH,Butler County,1002,4011,275,42,47,0,46.0,15,211,138,53,206,255,6.4,16,7080.0
136,40.04894663,-85.64864427,32420,3,8,0,0,1,1,1,0,1,0,3,Anderson,IN,Madison County,1802,1027,568,141,173,0,46.8,0,63,30,27,142,149,0.6,2,2232.0
137,40.41485324,-86.81263453,34581,6,18,1,32,9,7,12,5,2,16,3,Lafayette,IN,Tippecanoe County,10800,1021,538,273,166,50,51.1,0,0,0,0,0,0,8.1,12,6702.0
138,41.13377236,-85.01267927,35076,5,14,0,0,9,3,5,0,3,0,2,Fort Wayne,IN,Allen County,10808,3003,116,194,63,31,40.7,25,107,147,184,527,7,8.0,13,4355.0
139,40.22114226,-85.45892992,37388,5,2,0,78,6,4,5,1,5,0,8,Muncie,IN,Delaware County,2502,2021,297,206,67,54,49.3,0,451,148,78,441,242,7.4,13,30668.0
140,43.04105621,-83.3265686,38925,9,25,3,4,1,5,3,2,0,0,3,Lapeer,MI,Lapeer County,337000,4006,167,150,20,0,39.3,79,381,79,148,602,214,1.6,4,24485.0
141,40.47427602,-86.10084257,39040,10,14,2,0,9,7,4,1,1,2,8,Kokomo,IN,Howard County,1300,2010,301,408,115,25,39.2,77,329,58,121,314,67,0.9,2,6684.0
142,41.41167571,-82.66313365,25668,8,35,0,0,58,8,5,6,41,3,4,Sandusky,OH,Erie County,41900,2019,307,334,284,128,47.5,0,212,41,55,231,99,1.0,4,5575.0
143,40.16105136,-83.02280826,20796,7,22,3,23,2,6,10,6,4,14,2,Lewis Center,OH,Delaware County,11520,1008,228,212,475,163,47.1,61,334,59,220,397,121,4.7,9,14404.0
144,39.75023011,-82.65495619,25280,3,6,1,0,14,5,6,10,3,0,5,Lancaster,OH,Fairfield County,30901,3063,61,128,69,0,65.4,49,288,280,21,334,331,7.6,13,2293.0
145,42.55071118,-82.96267866,37741,11,6,4,5,4,6,16,2,6,0,4,Fraser,MI,Macomb County,254100,1000,204,199,269,132,50.6,54,408,182,190,590,334,3.8,11,21112.0
146,40.14510892,-88.26078535,36004,15,34,1,52,9,9,21,14,4,5,5,Champaign,IL,Champaign County,800,3006,54,316,150,36,32.5,37,807,51,463,856,334,0.7,4,
147,39.35736332,-84.37604297,25718,16,56,2,8,1,10,10,12,3,1,3,West Chester,OH,Butler County,11125,1011,106,109,199,226,52.1,137,422,141,170,475,165,2.5,5,8426.0
148,39.09845478,-84.26468225,25019,14,37,2,51,4,9,4,4,7,0,4,Cincinnati,OH,Clermont County,41307,2072,389,218,174,3,34.8,108,825,385,283,631,406,1.6,5,5840.0
149,41.67518188,-86.88986771,32015,18,37,2,32,3,13,11,47,28,8,3,Michigan City,IN,Laporte County,41400,2006,464,91,8,0,25.1,117,857,115,259,831,122,1.0,4,73644.0
150,39.29233058,-84.29251509,22055,10,26,3,119,44,7,16,18,21,5,3,Loveland,OH,Warren County,32011,1001,186,453,95,0,30.2,112,498,107,71,536,74,1.7,6,26998.0
151,39.01147431,-84.63836966,19129,13,39,0,68,15,9,13,10,3,6,21,Florence,KY,Boone County,70311,1022,293,283,54,0,43.7,57,576,190,116,497,312,1.0,3,
152,39.95184372,-86.34247867,25011,8,33,1,9,2,7,1,1,0,0,1,Zionsville,IN,Boone County,810607,1017,172,446,368,258,28.7,93,861,117,212,878,195,0.8,3,29380.0
153,40.52152834,-85.67720935,31735,4,4,16,0,0,3,1,0,0,0,3,Marion,IN,Grant County,10200,1037,227,186,160,0,35.6,0,262,193,80,260,265,8.7,16,13427.0
154,39.92563907,-86.02040953,26749,8,29,1,0,8,9,16,6,2,2,6,Indianapolis,IN,Marion County,330109,3000,223,132,240,24,48.4,269,553,109,231,582,54,0.6,4,26447.0
155,39.86822996,-84.88536053,31771,3,7,8,0,0,3,2,2,1,1,1,Richmond,IN,Wayne County,400,1035,505,285,223,39,44.7,42,340,102,67,360,223,0.5,2,3234.0
156,41.37710642,-83.60755419,21194,5,10,8,71,9,4,13,7,3,5,5,Bowling Green,OH,Wood County,22500,2018,198,175,102,29,32.2,49,689,110,145,734,167,0.6,2,4395.0
157,39.19718367,-84.23758844,25084,8,24,6,11,1,8,8,1,19,0,1,Milford,OH,Clermont County,40403,1009,488,279,265,58,35.2,109,367,71,67,427,109,1.5,5,27709.0
158,42.9966672,-85.59439066,51459,5,35,11,8,1,4,17,0,4,3,7,Grand Rapids,MI,Kent County,11803,3008,230,196,179,362,41.9,102,643,285,203,742,397,1.8,4,13114.0
159,39.30534399,-84.52719651,31078,8,25,1,835,4,7,10,2,5,0,7,Fairfield,OH,Butler County,10907,1010,398,174,212,94,38.2,38,230,118,125,380,149,0.6,3,36098.0
160,38.18800326,-85.60792269,24857,2,4,0,0,0,2,9,4,2,0,3,Louisville,KY,Jefferson County,11114,3001,199,99,124,0,67.1,58,705,434,301,922,104,3.9,12,
161,38.01880911,-84.42222391,28556,11,36,1,17,2,8,13,5,4,10,6,Lexington,KY,Fayette County,3908,4052,283,112,264,87,33.2,9,139,181,27,112,431,1.9,9,
162,38.11157721,-85.86098372,23496,5,14,8,9,1,4,5,0,0,0,1,Louisville,KY,Jefferson County,12105,4007,154,100,44,0,26.1,194,1456,298,544,1538,444,1.5,5,
164,38.29916381,-85.55390081,15864,10,28,0,0,1,6,13,22,2,1,6,Louisville,KY,Jefferson County,10309,1000,189,78,232,89,57.9,161,434,68,221,407,166,3.3,8,
165,41.46773333,-87.34556495,40448,5,14,1,0,1,4,8,4,2,7,6,Merrillville,IN,Lake County,42509,2002,178,327,115,0,39.2,409,1051,51,398,1707,112,1.1,4,16960.0
166,38.11242274,-85.67959147,25383,3,0,0,0,0,3,4,2,0,1,7,Louisville,KY,Jefferson County,11909,2013,195,342,111,0,35.4,24,249,123,17,278,119,0.6,3,
167,38.32327017,-85.70907923,22059,5,8,1,20,0,6,2,0,11,0,4,Jeffersonville,IN,Clark County,50603,2000,337,244,11,0,45.8,117,356,58,140,590,61,2.2,7,23445.0
168,38.99735543,-84.42169647,17877,4,7,1,19,0,4,2,2,3,0,2,Cold Spring,KY,Campbell County,53100,4026,283,324,217,30,52.1,150,985,236,191,858,155,4.1,10,
169,41.70092412,-88.12752492,26157,10,38,1,0,9,4,7,1,1,11,8,Bolingbrook,IL,Will County,880122,2000,21,34,277,68,37.6,41,240,77,43,418,143,6.0,13,
170,41.52855792,-87.47407657,38565,11,17,2,0,2,5,14,5,4,12,6,Highland,IN,Lake County,40502,2013,160,298,208,29,53.9,150,755,126,125,476,202,3.5,9,7706.0
171,44.2839134,-85.40478726,32013,8,14,0,0,1,8,5,1,1,0,2,Cadillac,MI,Wexford County,380500,1015,283,289,77,0,38.7,47,361,59,70,415,90,18.4,19,10388.0
172,42.59057693,-83.87680774,33624,6,15,2,18,6,5,3,2,0,2,6,Howell,MI,Livingston County,742403,3013,146,123,190,18,30.6,216,857,93,367,771,132,0.9,4,5466.0
173,42.28568575,-83.84177473,36663,4,15,1,5,3,6,3,0,4,4,0,Ann Arbor,MI,Washtenaw County,455000,4000,29,127,176,147,41.0,317,679,194,322,530,296,5.4,8,16459.0
174,42.56552504,-84.44551874,33995,4,6,2,14,1,2,1,1,0,0,2,Mason,MI,Ingham County,6302,1027,403,331,314,15,44.7,65,390,50,232,447,111,6.1,8,1870.0
175,41.93403729,-85.65504627,27090,7,10,2,11,13,6,2,0,0,0,3,Three Rivers,MI,St. Joseph County,41102,3014,126,81,66,11,37.5,126,845,95,196,505,90,37.3,43,5807.0
176,39.73842991,-89.70178091,29505,4,10,0,18,60,2,4,13,4,13,2,Springfield,IL,Sangamon County,3603,2047,73,164,302,306,48.6,0,0,0,0,0,0,0.7,2,
177,42.71613853,-83.0321395,27868,7,10,0,19,1,4,3,0,6,0,1,Washington,MI,Macomb County,215300,2025,237,357,295,34,43.4,20,643,38,78,552,79,0.8,3,45211.0
178,41.76787959,-88.20946516,28992,18,59,2,148,60,9,27,13,5,17,6,Aurora,IL,Dupage County,846509,3000,69,421,569,278,33.4,83,347,72,91,392,148,3.7,11,
179,41.93761495,-84.95942217,30218,7,2,0,0,1,3,3,0,0,0,5,Coldwater,MI,Branch County,951301,1029,234,154,102,48,41.2,98,554,143,112,615,235,1.0,4,2501.0
180,43.03927805,-86.21685178,32063,7,14,1,2,1,5,3,0,2,0,4,Grand Haven,MI,Ottawa County,21204,3011,84,287,65,0,30.9,122,468,60,173,448,107,3.5,8,6133.0
181,40.15061267,-82.92538021,34761,4,22,0,17,7,3,7,6,1,13,3,Westerville,OH,Delaware County,11762,1009,75,154,254,82,28.5,309,1042,150,259,1249,339,3.2,9,21489.0
182,41.90077437,-88.34366785,33594,10,24,1,10,8,7,13,8,3,5,7,Saint Charles,IL,Kane County,852204,1029,64,112,401,107,33.5,9,303,504,10,207,513,9.1,18,
183,42.01191187,-88.33390062,24959,4,14,16,0,2,6,7,0,6,8,4,Elgin,IL,Kane County,851908,3007,65,363,216,53,38.4,42,474,99,85,375,78,3.4,8,
184,37.9962746,-84.53123263,23396,10,46,4,9,11,7,38,12,8,7,9,Lexington,KY,Fayette County,4204,1003,239,289,132,50,42.5,142,921,100,215,793,106,1.4,7,
185,42.70567306,-83.28715872,39373,11,13,0,0,1,8,8,8,4,2,2,Auburn Hills,MI,Oakland County,140500,4000,0,0,0,0,0.0,53,369,188,234,388,162,0.7,3,30757.0
186,40.46997347,-86.95677675,30785,5,10,3,171,4,6,7,2,1,3,4,West Lafayette,IN,Tippecanoe County,10206,1005,295,126,238,89,53.2,48,340,24,120,211,28,20.4,25,22380.0
187,43.58267624,-83.83933658,24999,7,12,0,2,0,5,3,0,0,0,5,Bay City,MI,Bay County,285201,5005,598,129,0,0,66.5,83,1354,113,176,763,102,6.5,14,16568.0
188,42.37748816,-83.33095332,36919,9,32,2,14,61,4,15,5,7,0,4,Livonia,MI,Wayne County,558301,1028,3,0,0,0,0.0,19,438,149,69,442,277,0.6,3,148440.0
189,41.31016089,-84.35736395,17214,6,8,14,1,21,2,6,0,0,0,3,Defiance,OH,Defiance County,958100,3047,149,136,226,34,46.4,177,752,250,146,944,452,4.0,6,2059.0
190,41.66929,-84.99658987,22214,5,2,0,0,1,3,1,0,2,1,3,Angola,IN,Steuben County,971300,2006,379,227,149,0,34.2,91,240,101,274,216,149,3.6,9,24777.0
191,42.45226193,-85.66022865,31888,10,15,0,17,5,9,3,0,1,0,3,Plainwell,MI,Allegan County,32000,3004,225,171,99,0,35.5,11,119,23,66,187,10,0.5,3,1429.0
192,42.2927149,-88.97611976,31109,3,8,1,0,23,4,53,10,4,19,4,Rockford,IL,Winnebago County,512,2007,111,303,87,60,33.9,36,289,53,31,258,177,5.4,9,
193,43.95867606,-86.37723327,23896,2,5,0,4,0,2,4,2,0,6,3,Ludington,MI,Mason County,950600,3047,232,265,141,0,39.8,73,1096,198,121,654,215,8.3,11,1648.0
194,42.55537511,-84.81422383,30625,2,0,0,0,0,1,1,0,0,0,2,Charlotte,MI,Eaton County,21002,3009,49,101,167,0,54.3,29,134,160,53,151,77,0.4,2,26269.0
195,42.2632833,-85.17280004,43304,9,8,1,10,0,4,4,0,4,1,4,Battle Creek,MI,Calhoun County,1900,3016,57,76,81,19,40.5,165,331,24,228,294,137,1.0,4,927.0
196,42.18878719,-85.60324778,35387,4,3,3,26,3,3,6,8,2,1,7,Portage,MI,Kalamazoo County,2002,1013,21,151,106,7,47.4,0,317,174,177,194,308,3.9,9,10984.0
197,42.84021494,-83.27073324,27614,2,2,2,0,0,1,2,0,0,0,4,Oxford,MI,Oakland County,121000,4005,49,45,220,20,37.4,67,654,100,273,624,86,13.8,21,24023.0
198,41.95517844,-88.12275946,26251,6,9,1,0,5,2,6,0,2,4,5,Bloomingdale,IL,Dupage County,841112,1028,157,186,271,189,42.8,0,420,86,12,364,352,2.3,7,
199,42.84620782,-85.6197811,42255,6,16,3,111,3,3,9,1,1,1,2,Caledonia,MI,Kent County,14809,1015,350,395,447,31,42.2,123,665,17,171,313,48,0.7,3,25434.0
201,43.17450456,-85.27723347,42096,6,9,3,15,2,5,2,0,0,0,2,Greenville,MI,Montcalm County,971300,4005,322,247,254,47,39.7,151,451,174,128,429,112,27.5,30,6135.0
203,43.69088312,-85.51696478,34922,6,4,1,16,0,4,4,0,2,1,4,Big Rapids,MI,Mecosta County,960702,2018,233,133,83,28,46.1,39,701,57,55,580,82,0.6,3,19422.0
204,39.63770647,-86.3356715,23407,2,9,0,0,0,2,2,1,0,0,4,Camby,IN,Hendricks County,210608,1004,246,250,154,17,30.2,118,283,144,175,408,210,5.3,10,2513.0
205,42.93324508,-85.37447143,27374,4,3,0,0,0,4,1,0,1,0,4,Lowell,MI,Kent County,12003,4001,249,322,255,18,34.5,58,648,58,43,397,245,6.0,11,13105.0
