name,address,latitude,longitude,county,grocery stores 1 mile,food outlets 1 mile,tourist destinations 1 mile,hotels 1 mile,educational institutions 1 mile,hospitals 1 mile,airports 1 mile,residential housing density 1 mile,commercial housing density 1 mile,fuel stations & car wash 1 mile,apparels 1 mile,height restrictor 1 mile,border zone,public transportation 1 mile,competitor_rating,meijer_rating,meijer_feedback_useful,meijer_sentiment_score,meijer_total_review_count,meijer_positive_sentiment_count,meijer_negative_sentiment_count
7-Eleven,"3458 Calkins Rd, Flint, MI 48532, United States",43.0179887,-83.751159,Genesee,0,0,0,0,0,1,2,0,1,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven,"1633 W Atherton Rd, Flint, MI 48507, United States",42.9879866,-83.7027931,Genesee,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven,"3302 Dort Hwy, Flint, MI 48507, United States",42.9929024,-83.6540228,Genesee,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven,"130 Perry Rd, Grand Blanc, MI 48439, United States",42.9238701,-83.6245834,Genesee,0,12,0,0,1,0,0,8,0,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven - CLOSED - Closed,"8008 Lapeer Rd, Davison, MI 48423, United States",43.0114239,-83.5548814,Genesee,0,4,0,0,0,0,0,115,0,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven,"2241 E Hill Rd, Grand Blanc, MI 48439, United States",42.9447374,-83.6632723,Genesee,0,8,0,0,0,0,0,0,2,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven - CLOSED - Closed,"9010 Miller Rd, Swartz Creek, MI 48473, United States",42.9573737,-83.8507596,Genesee,0,0,0,0,1,0,0,0,32,0,0,0,0,0,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
7-Eleven,"4004 Jefferson Ave, Midland, MI 48640, United States",43.6343614,-84.2265574,Midland,0,2,0,0,0,0,0,7,4,0,0,0,0,0,,,,,,,
7-Eleven,"2397 S Mission St, Mt Pleasant, MI 48858, United States",43.5758772,-84.766952,Isabella,0,19,1,0,1,0,0,210,13,0,0,0,0,0,,,,,,,
7-Eleven,"8976 Tittabawassee Rd, Saginaw, MI 48603, United States",43.4817568,-84.0905616,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
7-Eleven,"3990 Tittabawassee Rd, Saginaw, MI 48604, United States",43.4808328,-83.9947178,Saginaw,0,4,0,0,0,1,0,0,2,0,0,0,0,0,,,,,,,
7-Eleven,"3055 Bay Rd, Saginaw, MI 48603, United States",43.4514078,-83.9759809,Saginaw,0,9,0,0,0,0,0,14,5,0,0,0,0,0,,,,,,,
7-Eleven,"102 E Washington St, St. Louis, MI 48880, United States",43.4074238,-84.6066292,Gratiot,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
7-Eleven,"5770 State St, Saginaw, MI 48603, United States",43.4373162,-84.0300812,Saginaw,0,9,0,0,0,0,0,11,2,0,0,0,0,0,,,,,,,
7-Eleven,"2032 Bay St, Saginaw, MI 48602, United States",43.4362083,-83.9748836,Saginaw,0,1,0,0,1,0,0,14,2,0,0,0,0,0,,,,,,,
7-Eleven,"10950 Gratiot Rd, Saginaw, MI 48609, United States",43.4167653,-84.1301735,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
7-Eleven,"803 S Wheeler St, Saginaw, MI 48602, United States",43.4084621,-83.991809,Saginaw,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
7-Eleven,"2726 Weiss St, Saginaw, MI 48602, United States",43.4440901,-83.9764547,Saginaw,0,5,0,0,0,0,0,14,2,0,0,0,0,0,,,,,,,
7-Eleven,"614 S Washington Ave, Saginaw, MI 48607, United States",43.4273242,-83.9406431,Saginaw,0,1,0,0,1,8,3,5,53,0,0,0,0,0,,,,,,,
7-Eleven,"7970 Gratiot Rd, Saginaw, MI 48609, United States",43.4163352,-84.070953,Saginaw,0,5,0,0,2,0,0,1,1,0,0,0,0,0,,,,,,,
7-Eleven,"1826 S Merriman Rd, Westland, MI 48186, United States",42.2960565,-83.3497555,Wayne,0,0,0,0,0,0,0,61,0,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven,"31385 Joy Rd, Westland, MI 48185, United States",42.3538615,-83.3511098,Wayne,0,3,0,0,0,0,0,40,0,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven,"126 S John Hix Rd, Westland, MI 48186, United States",42.3088066,-83.423701,Wayne,0,0,0,0,0,0,0,165,0,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven,"8791 N Wayne Rd, Westland, MI 48185, United States",42.3530867,-83.3866584,Wayne,0,5,2,0,0,0,0,210,7,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven,"S 970 Wayne Rd, Westland, MI 48186, United States",42.3026949,-83.3890608,Wayne,0,2,0,0,0,0,0,21,0,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven - Closed,"128 Munson Ave, Traverse City, MI 49686, United States",44.7633613,-85.5876256,Grand Traverse,0,7,0,1,1,1,1,28,25,0,0,0,0,0,3.93,,,,,,
7-Eleven - Closed,"426 Wright Ave, Alma, MI 48801, United States",43.3798802,-84.6663807,Gratiot,0,2,0,0,2,1,1,1,0,0,0,0,0,0,,,,,,,
7-Eleven,"304 E Beecher St, Adrian, MI 49221, United States",41.8892056,-84.0333512,Lenawee,0,12,0,0,1,0,0,0,2,0,0,0,0,0,,3.33,5.0,2.0,6.0,4.0,2.0
7-Eleven,"413 E Huron St, Ann Arbor, MI 48104, United States",42.2815404,-83.7432378,Washtenaw,0,113,1,3,6,7,4,341,54,0,0,0,0,0,3.5,2.0,19.0,-4.0,20.0,2.0,6.0
7-Eleven,"22475 Huron River Dr, Rockwood, MI 48173, United States",42.0691995,-83.2516417,Wayne,0,1,0,0,1,0,0,9,0,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven,"710 Benstein Rd, Commerce Charter Twp, MI 48390, United States",42.5330928,-83.5013324,Oakland,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"3035 S Commerce Rd, Wolverine Lake, MI 48390, United States",42.5693262,-83.4750549,Oakland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"1 N Williams Lake Rd, White Lake Charter Township, MI 48386, United States",42.6440398,-83.4438523,Oakland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
